year,tmID,confID,rank,playoff,firstRound,semis,finals,o_oreb,o_dreb,d_oreb,d_dreb,lost,GP,min,arena,powerRanking,offensiveFieldGoalPercentage,offensiveFreeThrowPercentage,offensiveThreePointPercentage,offensiveReboundsPerGame,offensiveAssistsPerGame,offensivePersonalFoulsPerGame,offensiveStealsPerGame,offensiveTurnoversPerGame,offensiveBlocksPerGame,offensivePointsPerGame,defensiveFieldGoalPercentage,defensiveFreeThrowPercentage,defensiveThreePointPercentage,defensiveReboundsPerGame,defensiveAssistsPerGame,defensivePersonalFoulsPerGame,defensiveStealsPerGame,defensiveTurnoversPerGame,defensiveBlocksPerGame,defensivePointsPerGame,winPercentage,homeWinPercentage,awayWinPercentage,conferenceWinPercentage,attendance
7,6,1,3,1,0,-1,-1,303,822,337,787,16,34,6925,18,44.284462353262576,70.8312344825873,11.570198517101185,87.87845485366394,39.2452830188679,34.54545454545453,34.25196850393703,36.64596273291926,92.53731343283584,1.3888888888888844,28.996865203761736,43.22486940601919,15.176332189420549,0.0,39.77272727272733,34.437086092715234,81.20805369127515,87.01298701298707,41.538461538461554,0.0,23.62344582593249,52.94117647058824,75.0,40.0,63.63636363636365,71.64843151505627
8,6,1,5,0,-1,-1,-1,374,770,342,721,21,34,6800,18,50.99412139410319,61.29717047029505,65.44143499876303,57.54551121608622,29.237288135593232,40.75829383886252,25.517241379310374,63.26530612244898,100.0,21.87500000000001,15.849673202614412,48.21307597388351,84.37784696179772,41.857169810594186,10.164835164835177,73.8562091503268,44.44444444444443,86.07594936708858,47.402597402597415,100.0,48.31460674157307,38.23529411764706,28.57142857142855,33.33333333333333,36.36363636363637,72.85568808541959
9,6,1,5,0,-1,-1,-1,376,803,349,743,17,34,6925,18,51.47413318907692,56.276695842386204,61.52018455588561,6.463606893798582,49.75609756097568,59.28571428571423,64.9484536082474,74.33628318584068,76.96969696969698,30.935251798561154,30.062305295950196,43.586183552624895,16.87691202205799,100.0,7.62331838565022,31.400966183574887,86.86131386861318,98.82352941176471,44.80000000000004,59.80392156862745,33.167495854062985,50.0,80.0,16.666666666666657,57.14285714285714,49.5458750733663
1,7,0,7,0,-1,-1,-1,285,647,321,633,23,32,6425,6,48.07044348971931,64.66765103709955,52.41053494565098,100.0,46.644295302013425,56.63265306122449,42.51207729468599,48.30508474576271,54.268292682926834,67.02127659574468,59.87748851454824,83.09919292727257,68.99063813558547,28.52859816015615,56.25,62.22222222222222,12.686567164179104,53.65853658536586,39.682539682539684,0.0,67.5233644859813,28.125,9.090909090909092,18.181818181818183,23.076923076923073,58.30542335037311
2,7,0,6,0,-1,-1,-1,286,649,306,660,22,32,6475,6,48.96926878295195,55.90551679760628,100.0,68.39403288939285,20.5607476635514,25.0,48.924731182795696,33.89830508474576,59.4059405940594,47.368421052631575,44.61538461538462,84.66406917920149,4.070367398882252,68.45080758593977,34.883720930232556,100.0,43.0939226519337,44.0,48.717948717948715,88.88888888888889,95.84199584199584,31.25,18.181818181818183,10.0,19.999999999999993,28.115100316789864
3,7,0,4,1,0,-1,-1,315,633,288,644,16,32,6425,6,43.3676695446935,3.0110079651546764,100.0,41.03849502771512,28.832116788321166,12.82051282051282,44.230769230769226,71.27659574468085,22.55639097744361,17.894736842105264,20.93541202672606,84.84157559556574,0.0,50.26951687175618,11.180124223602485,79.50819672131148,52.17391304347826,26.08695652173913,39.31623931623932,94.87179487179486,52.43362831858407,50.0,60.0,41.66666666666667,54.54545454545454,24.701634497716064
4,7,0,5,0,-1,-1,-1,334,654,309,677,18,34,6875,6,55.13231875572911,51.45514480226373,100.0,59.68026992287915,11.355311355311335,69.81132075471697,74.78991596638659,91.05691056910572,22.988505747126425,43.209876543209866,52.63157894736838,82.65741514348662,70.628117402311,100.0,0.0,84.44444444444446,31.57894736842105,4.651162790697693,47.31182795698924,100.0,50.280898876404514,47.05882352941176,72.72727272727273,27.272727272727277,53.84615384615385,28.871342926539327
5,7,0,6,0,-1,-1,-1,396,705,281,688,19,34,6850,6,45.110040176141105,0.0,98.39041045272486,57.86058918134397,76.8456375838926,64.50000000000003,43.52331606217614,49.52380952380954,32.80423280423281,73.07692307692311,26.302729528535934,77.47190332880669,48.78392405544379,62.82844871147041,0.0,48.73949579831933,10.071942446043135,39.25233644859813,22.08588957055214,100.0,35.64814814814813,44.11764705882353,44.44444444444445,28.57142857142857,27.999999999999996,14.907747607810338
6,7,0,2,1,1,0,-1,341,671,279,711,13,34,6925,6,43.86483706279809,0.0,63.293941967030754,32.33566433566434,30.000000000000004,42.85714285714288,48.33333333333334,100.0,35.61643835616439,18.446601941747566,18.61042183622827,62.90262901974134,5.883873791463335,53.05449361948337,24.786324786324748,0.0,35.064935064935085,43.0232558139535,69.66824644549762,45.333333333333336,12.73885350318467,61.76470588235294,89.99999999999999,54.54545454545453,88.57142857142858,59.78984756548764
7,7,0,3,1,0,-1,-1,339,755,288,773,13,34,6850,6,44.3416603807075,18.80227288445872,62.30212622940983,23.52006385428914,27.54716981132079,15.757575757575736,29.9212598425197,100.0,64.17910447761194,13.888888888888884,17.711598746081524,68.80039139749672,45.704475130356734,13.607810709259988,15.909090909090942,21.85430463576159,67.7852348993289,36.36363636363635,91.79487179487182,29.629629629629633,0.0,61.76470588235294,75.0,70.0,72.72727272727273,63.97002494647312
